iter	Accuracy	MultiClass
173	0.6411522496	0.9222366077
174	0.6408007499	0.9212174238
175	0.6414702732	0.9203720405
176	0.6421565345	0.9194549456
177	0.6429432244	0.9182630123
178	0.6434286288	0.9173733133
179	0.6439977236	0.9167415149
180	0.6443659614	0.9157543465
181	0.6449685324	0.9147378298
182	0.6453702464	0.9139908879
183	0.6455543653	0.9132108707
184	0.6457886984	0.9129920035
185	0.646307579	0.9122106514
186	0.6462238886	0.9110833457
187	0.6468097215	0.910178005
188	0.64691015	0.9093566341
189	0.647529459	0.90858096
190	0.6482324585	0.9077999589
191	0.6484835297	0.9069350985
192	0.6489019818	0.9059453299
193	0.6492869577	0.9052447686
194	0.6496551955	0.9043473059
195	0.6501071237	0.9033585999
196	0.6505255758	0.9023806832
197	0.65057579	0.9014347447
198	0.6508268613	0.9006907482
199	0.651780932	0.8996749122
200	0.6522495983	0.8985426258
201	0.6525174076	0.8978525024
202	0.6530530262	0.8972012889
203	0.6543753348	0.8957494272
204	0.6544590252	0.8948545543
205	0.6550615961	0.8940740565
206	0.6549109534	0.893076768
207	0.65502812	0.8923155659
208	0.6551787627	0.8916207372
209	0.6559152384	0.8906623985
210	0.6559487145	0.8899549006
211	0.6559821907	0.8895403211
212	0.6564675951	0.8889447185
213	0.656852571	0.8881639428
214	0.6575890466	0.8871086211
215	0.6578401178	0.8868683726
216	0.6586602839	0.8858709064
217	0.6593967595	0.8852534951
218	0.6596143546	0.8846340732
219	0.6597984735	0.8843809034
220	0.659898902	0.8841251546
221	0.660501473	0.8830254987
222	0.6610203535	0.8822941217
223	0.6613718532	0.8815436599
224	0.6616564006	0.8807428109
225	0.662342662	0.8799818956
226	0.6630623996	0.8792891482
227	0.6632967327	0.878328795
228	0.6635812801	0.8775467592
229	0.6639997322	0.8772590342
230	0.6647194697	0.8762613937
231	0.6648701125	0.8755336112
232	0.665188136	0.875365987
233	0.6655061596	0.8747557874
234	0.6657739689	0.8743630768
235	0.6664434922	0.8736680725
236	0.6665773969	0.872837146
237	0.6669456347	0.8723406317
238	0.6668619443	0.8716523471
239	0.667012587	0.8712838246
240	0.6669791109	0.8709573387
241	0.6671799679	0.8702175181
242	0.6676486342	0.8695496804
243	0.6681340386	0.8689166921
244	0.6684688002	0.8687053476
245	0.6686696572	0.8680308761
246	0.6694563471	0.8669330117
247	0.6697743706	0.8663889256
248	0.6702095608	0.8657979013
249	0.6710297268	0.8649536855
250	0.6719837975	0.8643497971
251	0.6720507499	0.863826193
252	0.6720340118	0.8631976004
253	0.6721009641	0.8623924091
254	0.6721177022	0.8616554819
255	0.6725361543	0.8608943874
256	0.6730382967	0.8603195423
257	0.6732726299	0.8595622291
258	0.6738417247	0.8588105505
259	0.6742769148	0.857984298
260	0.6748125335	0.8574372816
261	0.6754653187	0.8567885142
262	0.6759172469	0.8560477983
263	0.6763524371	0.8555166206
264	0.6768211034	0.8549963998
265	0.676955008	0.8543810095
266	0.6781266738	0.8535739995
267	0.6784112212	0.8529132719
268	0.6789970541	0.8524027811
269	0.6791979111	0.8519466763
270	0.6795159347	0.8508627699
271	0.6797335297	0.8498210868
272	0.6800515533	0.8494389681
273	0.682227504	0.8484300078
274	0.6825455276	0.8478929711
275	0.6826794322	0.8475323265
276	0.6829639796	0.8469335326
277	0.6831313605	0.8464718429
278	0.6837171934	0.8456131461
279	0.6841356454	0.8447551118
280	0.6839515265	0.8441158553
281	0.6840854312	0.8439338035
282	0.6845373594	0.8431728714
283	0.6847214783	0.8425788946
284	0.685273835	0.8418508507
285	0.6860940011	0.8408274958
286	0.6862446438	0.8406113459
287	0.6863785485	0.8400528921
288	0.6869643814	0.8394073077
289	0.6871987145	0.839143421
290	0.6875669523	0.8384327003
291	0.6876673808	0.838009387
292	0.6880356186	0.8376181516
293	0.6881360471	0.8372589023
294	0.6883369041	0.8366558554
295	0.6891905463	0.8358991098
296	0.6892909748	0.8353618712
297	0.6894583557	0.8351439789
298	0.6899939743	0.8344691958
299	0.6903287359	0.8343210468
300	0.6903789502	0.8338461894
301	0.6905295929	0.8332695219
302	0.6907639261	0.8327273771
303	0.6907974022	0.8325576587
304	0.6912325924	0.8320653555
305	0.6914501875	0.8314428165
306	0.6916175683	0.8304991176
307	0.6918184253	0.8297412448
308	0.6922368773	0.8292840223
309	0.6922703535	0.828652356
310	0.6925381628	0.8283320103
311	0.692973353	0.8276722993
312	0.6931239957	0.8270391947
313	0.6934587574	0.8262687029
314	0.6937098286	0.8257521754
315	0.6939608998	0.8252226334
316	0.6940445903	0.8249223512
317	0.694596947	0.8243710494
318	0.6945132566	0.8241198119
319	0.6948982325	0.8234282877
320	0.6951660418	0.8230356757
321	0.6957853508	0.8223793103
322	0.6957686127	0.8221719936
323	0.6964046599	0.8213892451
324	0.6967394215	0.8210653262
325	0.6968733262	0.8208090226
326	0.6975261114	0.820167145
327	0.697643278	0.8195524795
328	0.6978106588	0.8189833605
329	0.6985136583	0.8183300429
330	0.6989153723	0.8178343704
331	0.6992836101	0.8172961672
332	0.6993673005	0.8171962503
333	0.6999866095	0.8162133241
334	0.7003883235	0.8154639876
335	0.7002042046	0.8152784046
336	0.7003213712	0.8149782064
337	0.7007565613	0.8144345256
338	0.7006226567	0.8141465392
339	0.7011415372	0.8134010287
340	0.7011582753	0.8125962195
341	0.7011415372	0.8121985713
342	0.7012419657	0.8119709658
343	0.7020119175	0.8113767844
344	0.7023968934	0.8108111282
345	0.7025642742	0.8100845863
346	0.7024973219	0.8098987155
347	0.7030998929	0.8093646816
348	0.7036187734	0.8084151992
349	0.7042213444	0.8078020688
350	0.7044891537	0.8071544454
351	0.7045728441	0.8068513433
352	0.7052088913	0.8063722806
353	0.7056440814	0.8060202167
354	0.705962105	0.8055543108
355	0.705962105	0.8053719838
356	0.7062299143	0.8048268601
357	0.7067153187	0.8040253052
358	0.7072174612	0.8037158532
359	0.7070668184	0.8034935663
360	0.7072174612	0.803063222
361	0.7072341993	0.802805701
362	0.7074517943	0.8023669469
363	0.7078032941	0.8020777043
364	0.7079204606	0.8016690034
365	0.70818827	0.8011190984
366	0.7084560793	0.800630194
367	0.7083389127	0.8001883886
368	0.7084226031	0.7999238395
369	0.7084895554	0.7995231344
370	0.7089080075	0.7989337873
371	0.7091256026	0.7986151659
372	0.7093599357	0.7980849515
373	0.709627745	0.7978551867
374	0.7097449116	0.797372579
375	0.710029459	0.796834542
376	0.7103976968	0.7962372205
377	0.7104479111	0.7957945869
378	0.7108496251	0.7952242894
379	0.710832887	0.7950586857
380	0.7115526245	0.794535714
381	0.7119208623	0.7940351675
